id,session_id,player_id,team,position,points,is_winner
aa662d94-187f-445b-8796-6139ceaf3d49,0075b72f-b35c-4ca5-819f-d31be15162df,3c46dbff-adaf-4781-812e-3ac1be41114b,COOP,,0.0,1
db7ef8d4-5c71-4924-9c3c-a5990e3dd9b0,0075b72f-b35c-4ca5-819f-d31be15162df,528b549f-1743-45d2-aeb7-6dcad553e403,COOP,,0.0,1
0675fec7-9d25-41b4-8268-bf0ed4420fe9,00f55234-3b52-4fe4-9680-210863eef02e,0adcf663-60e0-4211-892e-245db6dd38db,A,,0.0,0
205b1faf-2e48-40fb-88d1-bd42554a7d57,00f55234-3b52-4fe4-9680-210863eef02e,3958cc97-5507-421f-a821-fd80cc9e7f7f,A,,0.0,0
5f6fdc66-5ec5-4bbf-b40a-cbc37f3d5f7a,00f55234-3b52-4fe4-9680-210863eef02e,3c2deced-ddd6-49e8-b3cf-5d1dfb04d45f,A,,0.0,0
d2b5c773-1cd5-4dd7-9fd4-691e95569e2e,00f55234-3b52-4fe4-9680-210863eef02e,3c46dbff-adaf-4781-812e-3ac1be41114b,B,,0.0,1
3a4ba484-0c9c-4bf3-8406-41b213813d21,028b0722-d5bc-40f9-875e-b17b2cbe4191,3c46dbff-adaf-4781-812e-3ac1be41114b,,1,2.0,1
e065214b-55b3-4b7d-aca7-0d303ed185b1,028b0722-d5bc-40f9-875e-b17b2cbe4191,3d63287a-93a2-4808-bf9b-66d046ab1eb1,,2,1.0,0
9d101faf-2e93-4fd9-95c7-4dd5897a2310,02dc212c-80b9-4fdb-8138-364a0cc33bf7,3c46dbff-adaf-4781-812e-3ac1be41114b,SOLO,,3.0,1
40b9a0ec-e916-45ff-8a97-a82e9b9dbdb9,09dec712-64a0-428d-84a6-cb3cf8214947,81c8c447-cbaf-4be5-9101-9edee26637e3,COOP,,0.0,0
886f9343-a8ce-4f41-880b-2b049293053d,09dec712-64a0-428d-84a6-cb3cf8214947,3c46dbff-adaf-4781-812e-3ac1be41114b,COOP,,0.0,0
ded56174-0a44-4644-9766-955740acf205,11e8bb81-a822-4e25-a4b7-e08c6f27c705,4b99fd4d-39d2-45c3-80cb-01ae57e2a6b9,COOP,,0.0,0
f4eabd22-7559-4e92-8aa2-55b414df324a,11e8bb81-a822-4e25-a4b7-e08c6f27c705,3c46dbff-adaf-4781-812e-3ac1be41114b,COOP,,0.0,0
4c941204-b41e-43f2-9aa5-58bbe5ac2796,131b44a4-37a3-425c-a25b-ac353a0c808f,3958cc97-5507-421f-a821-fd80cc9e7f7f,,1,104.0,1
