id,date_key,player_id,score,rounds_played,duration_s,started_at,finished_at,is_best_for_day,meta
971c835f-7d55-41a4-a4b0-0afdb074b817,2025-08-17,3c46dbff-adaf-4781-812e-3ac1be41114b,7,7,60,2025-08-17T10:36:38.604448+00:00,2025-08-17T10:37:38.752257+00:00,0,"{""minigame"": ""Odd Emoji Out""}"
3bb27ea4-59db-4915-9fbf-1662937d4503,2025-08-17,3c46dbff-adaf-4781-812e-3ac1be41114b,11,11,60,2025-08-17T12:14:32.377171+00:00,2025-08-17T12:15:45.33759+00:00,1,"{""minigame"": ""Odd Emoji Out""}"
f512bfb0-97a3-481e-a3d6-2a9aa145f2d1,2025-08-17,81c8c447-cbaf-4be5-9101-9edee26637e3,6,7,60,2025-08-17T13:01:44.186631+00:00,2025-08-17T13:03:01.371954+00:00,1,"{""minigame"": ""Odd Emoji Out""}"
962bb478-07fb-46e5-83be-300ef0c219f9,2025-08-17,4b99fd4d-39d2-45c3-80cb-01ae57e2a6b9,8,8,60,2025-08-17T13:42:23.251234+00:00,2025-08-17T13:43:26.772141+00:00,1,"{""minigame"": ""Odd Emoji Out""}"
ab601d3b-1b77-4d5f-b5bd-dfff1b5b9343,2025-08-17,3c2deced-ddd6-49e8-b3cf-5d1dfb04d45f,8,8,60,2025-08-17T16:43:45.609711+00:00,2025-08-17T16:44:56.928335+00:00,1,"{""minigame"": ""Odd Emoji Out""}"
66dfac87-570b-41e7-bd25-6ff2ebc6a4be,2025-08-17,0adcf663-60e0-4211-892e-245db6dd38db,7,7,60,2025-08-17T19:00:04.705537+00:00,2025-08-17T19:01:06.51923+00:00,1,"{""minigame"": ""Odd Emoji Out""}"
e94f8411-99bc-4782-9bc0-e81388c372bc,2025-08-18,3c46dbff-adaf-4781-812e-3ac1be41114b,9,9,60,2025-08-18T18:17:32.425524+00:00,2025-08-18T18:18:33.005862+00:00,1,"{""minigame"": ""Odd Emoji Out""}"
2897c7aa-6fc0-41a4-bdbf-12dea4dd6751,2025-08-23,80504ce3-8d54-4c10-8d34-7e400027caa4,7,7,60,2025-08-23T12:19:26.520072+00:00,2025-08-23T12:20:30.900692+00:00,1,"{""minigame"": ""Odd Emoji Out""}"
3b39894c-b57b-42ab-8366-dfc68670713c,2025-09-05,3c46dbff-adaf-4781-812e-3ac1be41114b,1,1,28,2025-09-05T12:11:09.269929+00:00,2025-09-05T12:11:37.995776+00:00,0,"{""minigame"": ""Galio's Den""}"
216afa55-f8f9-4136-aadb-606884da47df,2025-09-05,3c46dbff-adaf-4781-812e-3ac1be41114b,0,0,39,2025-09-05T12:28:26.669802+00:00,2025-09-05T12:29:06.215806+00:00,0,"{""minigame"": ""Galio's Den""}"
fbd5d6d5-1c7b-46bc-9a38-fabd6d6a099f,2025-09-05,3c46dbff-adaf-4781-812e-3ac1be41114b,10,10,415,2025-09-05T12:34:22.562809+00:00,2025-09-05T12:41:17.740695+00:00,0,"{""minigame"": ""Galio's Den""}"
0d5d8588-e31e-4859-a4ca-1cb22bad6c34,2025-09-05,3c46dbff-adaf-4781-812e-3ac1be41114b,0,0,401,2025-09-05T15:55:52.175348+00:00,2025-09-05T16:02:33.218722+00:00,0,"{""minigame"": ""Galio's Den""}"
adbaaaa3-5ec1-4fd9-94d8-fee1e76894f9,2025-09-05,4b99fd4d-39d2-45c3-80cb-01ae57e2a6b9,0,0,330,2025-09-05T16:00:19.378466+00:00,2025-09-05T16:05:49.92643+00:00,1,"{""minigame"": ""Galio's Den""}"
c23c8953-fe2e-4417-831f-9df8c5beffbb,2025-09-05,3c46dbff-adaf-4781-812e-3ac1be41114b,15,15,819,2025-09-05T18:44:57.107477+00:00,2025-09-05T18:58:36.228619+00:00,1,"{""minigame"": ""Galio's Den""}"
88829c0b-85db-4175-8539-dbedd1dfcebc,2025-09-06,3c46dbff-adaf-4781-812e-3ac1be41114b,1,1,88,2025-09-06T22:40:04.563035+00:00,2025-09-06T22:41:33.33151+00:00,1,"{""minigame"": ""Galio's Den""}"
e544c17c-d19f-46e4-b831-ce2b85f18149,2025-09-06,4b99fd4d-39d2-45c3-80cb-01ae57e2a6b9,3,3,80,2025-09-06T22:41:14.676803+00:00,2025-09-06T22:42:35.651788+00:00,1,"{""minigame"": ""Galio's Den""}"
79513a91-002e-414d-99e7-9ac1915e81d7,2025-10-09,3c46dbff-adaf-4781-812e-3ac1be41114b,2,2,47,2025-10-09T10:20:39.055256+00:00,2025-10-09T10:21:26.882379+00:00,1,"{""minigame"": ""Galio's Den""}"
af0ba67e-9cd4-459a-93d6-1e410ed814ae,2025-10-15,3c46dbff-adaf-4781-812e-3ac1be41114b,1,1,27,2025-10-15T18:19:21.145318+00:00,2025-10-15T18:19:48.808318+00:00,1,"{""minigame"": ""Galio's Den""}"
6678fbe0-709e-47bb-a3ff-631a3c3ef825,2025-12-04,3c46dbff-adaf-4781-812e-3ac1be41114b,4,4,293,2025-12-04T18:13:16.037184+00:00,2025-12-04T18:18:09.08272+00:00,1,"{""minigame"": ""Galio's Den""}"
