id,played_at,game_id,location,notes
0075b72f-b35c-4ca5-819f-d31be15162df,2025-05-22T00:00:00+00:00,daeabe7e-0997-4b63-a2f8-bbfce3fd3d2f,,
ade75b4a-40fa-4079-879c-0687efed7903,2025-05-22T00:00:00+00:00,daeabe7e-0997-4b63-a2f8-bbfce3fd3d2f,,
51b13d3d-f59e-4668-8370-00f83979b0d8,2025-05-24T00:00:00+00:00,daeabe7e-0997-4b63-a2f8-bbfce3fd3d2f,,
74d808af-0a0b-4511-ad38-f55d9af0ebca,2025-06-18T18:00:00+00:00,b3bf4a7d-cc48-4aff-99a3-cbca35fd840d,,
83ac2ee9-a94e-4384-b340-cf080cd86158,2025-06-25T00:10:00+00:00,3bf7a4ee-675d-44fb-a9a2-94d1b37421c0,TTS,Points not exact.
8ce8918d-c02f-4103-87a6-a33c00dc3300,2025-07-02T22:33:00+00:00,d69ff5f2-a5fc-4d61-baa3-83338a463823,Ataşehir,İlk session
718b7a1e-5c87-4532-8f79-f2fc9513ba03,2025-08-15T19:58:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,Sike sike çevirdik galio sett
3208fa59-601d-4eba-8fbe-1ea01c0c7814,2025-08-16T21:08:00+00:00,0d3350b8-a367-4bec-abcf-a2c424ef5b87,,
8fbcd94d-2026-4e48-848d-dd37f245f212,2025-08-17T12:00:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
e6d1a65b-1be4-481d-bb18-10fbbfcbcf51,2025-08-17T12:30:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
4cd07841-6f4f-4731-8627-f367bcf77aa3,2025-08-17T12:56:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
c10c3976-96a9-41a0-ad16-65cc1261d7a1,2025-08-17T14:41:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
dc04840a-41b4-46c9-80fd-b3278af7ad19,2025-08-17T15:28:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
00f55234-3b52-4fe4-9680-210863eef02e,2025-08-17T18:48:00+00:00,f6ca7295-699d-4196-9151-8655059b3023,,
159a3025-a86a-4865-ac0c-96343ab6e9dc,2025-08-17T20:08:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
297da22d-b91e-454b-b8f3-bde94d53721b,2025-08-17T20:22:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
b22aefca-16f8-483d-9424-2624637b03aa,2025-08-17T20:58:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
457d00c7-9c0d-4f3f-80a1-4979e23eb39e,2025-08-17T21:40:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,ARENA
7e884522-e00c-4040-9ec2-39b7d830c7b6,2025-08-17T22:12:00+00:00,ac5ce418-3491-4cdd-a71f-c3eb37533b40,,
89fc7115-7aeb-490f-98b0-64c6ffbb4d05,2025-08-18T16:31:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
9bb65f46-d475-440c-a73c-6e91849150ec,2025-08-18T17:31:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
3798f1d0-063a-420b-bf2d-4d8e578730fa,2025-08-18T18:13:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
e5385c23-7667-439a-b0f0-50c33aeeb7dd,2025-08-18T18:13:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
6979fea7-18d7-4771-8164-942f5b87ea14,2025-08-20T00:34:00+00:00,eec258b8-6cf9-48b8-b25e-a06f7addce0d,,
aa3de40c-dc40-4b9b-a54c-80e3aacbf5b6,2025-08-21T12:10:00+00:00,b7405c11-28e3-444f-87ec-7097012c871a,,
603d1e7b-1400-4063-9610-aaec4ad2d752,2025-08-21T13:45:00+00:00,b7405c11-28e3-444f-87ec-7097012c871a,,
589968e6-5411-4fdb-a2b9-d367ffdcfbd2,2025-08-21T19:03:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
8f84805f-56a5-4cac-a93c-6490c110d5e7,2025-08-21T19:37:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
2739cf44-6e71-4b15-9a4b-0643c70873a4,2025-08-21T19:59:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
6ae822e2-3ced-451e-bca5-ac1e5fffa28f,2025-08-21T20:38:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
51515cd1-4c7d-42f2-8245-2fab92b59da6,2025-08-21T21:08:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
d3210774-b372-4327-8917-5260807106ce,2025-08-22T13:21:00+00:00,ac5ce418-3491-4cdd-a71f-c3eb37533b40,,
dc0f14b0-19f9-4471-8fb8-fe327a7d81b0,2025-08-22T13:53:00+00:00,ac5ce418-3491-4cdd-a71f-c3eb37533b40,,
4fc7f893-7548-48b8-b252-3c01e59a75d7,2025-08-22T18:50:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
4b1a5eae-487e-462e-aeee-5307c614704f,2025-08-22T19:00:00+00:00,b7405c11-28e3-444f-87ec-7097012c871a,,
73311977-0676-417e-8ac2-d41755f06e67,2025-08-22T19:12:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
67417185-8499-4a3f-b5fb-b2267a093ed7,2025-08-22T19:39:00+00:00,c11a1a50-fd55-47f5-9b85-dbbb6d800107,,
e8339d70-d087-455e-87bf-e60ad0eaa744,2025-08-23T22:45:00+00:00,0d3350b8-a367-4bec-abcf-a2c424ef5b87,,
8251ca0f-869c-46bd-b118-0aae47e61f91,2025-08-24T17:06:00+00:00,ac5ce418-3491-4cdd-a71f-c3eb37533b40,,
